OTUs,Domain,Phylum,Class,Order,Family,Genus,Species
90,12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14)
91,12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14)
92,12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14)
93,3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3β-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14)
94,3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3β-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14)
95,3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3β-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14)
96,3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3β-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14)
97,3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3β-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14)
98,3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3β-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14)
99,3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3β-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14)
