570.T5_BF5_01_33362,571.T5_BF6_01_33363,572.T5_BF7_01_33364,573.T5_BF8_01_33365,574.T5_BF9_01_33366,575.T5_BF10_01_33367,576.T5_BF11_01_33368,577.T5_BF12_01_33369,578.T5_BG1_01_33371,580.T5_BG2_01_33372,581.T5_BG3_01_33373,582.T5_BG4_01_33374,583.T5_BG5_01_33375,584.T5_BG6_01_33376,585.T5_BG7_01_33377,586.T5_BG8_01_33378,588.T5_BG9_01_33379,589.T5_BG10_01_33380,590.T5_BG11_01_33381,591.T5_BG12_01_33382,592.T5_BH1_01_33384,593.T5_BH2_01_33385,594.T5_BH3_01_33386,595.T5_BH4_01_33387,596.T5_BH5_01_33388,597.T5_BH6_01_33389,598.T5_BH7_01_33390,599.T5_BH8_01_33391,600.T5_BH9_01_33392,601.T5_BA1_01_33398,602.T5_BA2_01_33399,603.T5_BA3_01_33400
0,0,0,0,0,0,0,0,0,0,3410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4341
0,3255,0,0,0,0,0,0,0,0,0,3386,0,0,0,0,0,0,0,0,3337,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19720,10097,23613,0,17306,78401,51635,18126,65147,0,0,59397,0,80547,13244,53476,0,1632,0,0,56429,22494,25123,0,45344,47181,0,23219,0,0,0,0
0,45589,0,48658,33017,0,0,0,19288,9889,8395,0,20777,0,0,0,0,9210,81329,42965,0,0,0,6270,0,0,0,4684,0,0,0,0
0,0,0,13705,87004,30817,0,0,32418,0,0,0,0,0,0,0,0,0,106860,0,31368,0,0,0,50531,95299,0,0,0,0,0,16532
0,0,0,0,0,0,0,0,9680,0,0,0,0,0,0,0,0,0,6589,0,9723,0,0,0,2870,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2222,1710,0,0,0,0,0,0,0,0,0,2079,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1486,0,0,0,0,0,0,0,0,969,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6634
0,0,0,1762,4060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3072,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2691,0,0,0,7260,0,0,0,0,0,0,0,0,0,0,1904,2383,0,0,0,8535,6926,0,0,0,0,0,0
0,10992,7530,15278,18881,21269,5344,5038,37481,0,10953,25259,20054,0,0,11984,10495,8735,9060,14319,17876,3191,25206,45315,14076,33672,13887,10613,5211,4078,12729,15199
0,0,0,0,0,0,0,0,6946,0,0,0,0,8039,0,0,0,0,0,0,2555,0,3628,0,2183,2574,0,10610,0,2285,0,0
0,0,0,0,0,0,0,0,0,0,1526,0,0,0,1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4870,15731,15534,16948,7165,3768,0,25235,3232,12487,0,10708,21460,14186,12277,12772,14032,8259,19190,27817,11688,29057,17230,18635,10708,18482,49204,13665,21637,15102,22317
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30258,37899,32994,29860,26494,36714,25354,17682,24690,4943,46534,5797,5250,15756,35972,49716,49592,81001,36560,25213,11881,72753,139377,169790,105839,4825,43074,114675,40966,123994,52114,123114
0,0,0,0,0,0,0,0,0,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6079,0,0
0,7854,0,9056,45401,21702,0,0,60320,0,0,14946,3090,18468,0,0,0,0,71159,14221,44213,0,0,0,13883,121161,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1559,0,0,0,0,0
0,0,0,0,0,0,0,0,3770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
0,0,0,0,0,0,0,0,5747,0,0,0,0,0,0,0,0,0,0,0,5839,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4758,0,0,0,0,2353,0,0,0,0,0,0,0,1012,0,1311,0,2952,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4789,0,0,0,0
0,6317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26414,5773,0,0,0,0,0,0,13969
0,0,0,0,17346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13418,0,0,4958,0,0,0,0
0,0,0,0,0,0,2665,0,0,0,0,0,0,4014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5602,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6367,0,0,0,0,0,0,0,0,0,0,13115,7593,0,3471,0,5338,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11945,0,9333,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2148,0,0,0,0,0,0,12958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7492,14646,0
0,1720,0,0,6903,0,0,0,15579,0,0,0,0,0,0,0,0,0,0,3124,2704,0,6681,0,13729,13006,3016,9594,0,8578,2233,4420
0,0,0,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835,0,0,0,0,3827,0,0
0,18529,0,0,18861,0,0,0,0,0,0,0,0,0,0,0,0,0,17056,0,0,0,0,89556,58355,0,0,19766,0,23979,0,58934
65933,52265,101318,48045,111226,68779,48347,16814,79344,0,56944,18306,0,82307,84131,122351,19043,54307,210697,82513,49538,54304,56502,0,154282,0,61042,111773,42513,88826,0,41900
23569,25038,74362,82877,89403,52687,31624,11825,59092,68750,69520,79238,66410,138816,46689,77286,13245,0,24747,116031,131018,21652,23351,19091,87586,89506,52944,95496,63792,229068,89586,87992
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17651,0,27857,12944,0,0,16569,0,0,0,0,16717,0,27594,0,0,18090,0,0,0,0,19347,33621,10695,0,0,0,0,0,16743
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2243,0,0,0,0,0,7126,3273,8175,2045,4476,0,4770,0,0,3396,0,2507,0,0,8226,0,33742,0,3047,7966,4297,5793,5605,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3127,0,0,2073,2597,0,0,0,0,0,0,3253,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,3213,6534,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14610,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2537,28094,21274,28814,40698,35677,16881,19077,51239,0,2380,16118,26310,23557,6304,30682,10476,0,93150,34228,28967,20094,36604,14426,52533,14208,13619,38706,19987,19765,1864,20502
2513,4018,0,0,2165,4420,0,0,0,2768,0,1509,1339,0,0,2220,839,0,1705,2061,0,0,0,5473,0,0,0,0,0,9745,0,2596
0,0,0,0,0,0,0,0,1715,0,5789,0,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2382,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4245,0,0,0,0
0,0,0,0,4635,0,0,0,8196,0,0,2614,2863,0,0,0,3407,3005,0,0,0,0,4929,3617,2992,0,2830,19211,0,0,0,3360
0,0,0,0,0,0,0,0,0,3288,0,4960,0,28600,0,2537,0,0,0,0,0,0,7806,0,0,0,0,17307,0,0,3049,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3163
0,3680,0,0,0,2503,0,0,12379,0,0,0,0,0,24694,0,0,0,1654,0,0,0,0,0,0,0,0,5439,0,0,0,0
