570.T2_RF5_01_33130,571.T2_RF6_01_33131,572.T2_RF7_01_33132,573.T2_RF8_01_33133,574.T2_RF9_01_33134,575.T2_RF10_01_33135,576.T2_RF11_01_33136,577.T2_RF12_01_33137,578.T2_RG1_01_33139,580.T2_RG2_01_33140,581.T2_RG3_01_33141,582.T2_RG4_01_33142,583.T2_RG5_01_33143,584.T2_RG6_01_33144,585.T2_RG7_01_33145,586.T2_RG8_01_33146,588.T2_RG9_01_33147,589.T2_RG10_01_33148,590.T2_RG11_01_33149,591.T2_RG12_01_33150,592.T2_RH1_01_33152,593.T2_RH2_01_33153,594.T2_RH3_01_33154,595.T2_RH4_01_33155,596.T2_RH5_01_33156,597.T2_RH6_01_33157,598.T2_RH7_01_33158,599.T2_RH8_01_33159,600.T2_RH9_01_33160,601.T2_RH10_01_33161,602.T2_RH11_01_33162,603.T2_RH12_01_33163
0,0,0,0,0,0,0,17920,0,0,0,0,0,11545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77078,0,77036,256366,285986,58180,0,0,74901,17437,19721,213155,194580,18640,408415,60321,0,0,0,0,40306,0,0,0,0,0,0,0,0,0,659359,0
41660,0,35549,0,0,0,0,12629,0,30737,9215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14084
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3645,0,3535,0,0,0,7714,0,0,0,0,0,0,0,0,0,9278,8948,0,0,0,0,0,0,0,0,0,0,7317,17051,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5372,4933,0,0,0,0,0,0,0,0,0,7657,7131,14860,0
0,71221,31579,62525,48915,31651,8483,3654,69567,0,10543,36970,6328,69332,77851,80384,106178,7878,13569,0,3341,14304,16314,8752,0,3992,5442,0,0,9071,112708,7797
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3176,0
0,22835,15946,0,2257,0,10895,0,20691,0,15502,7556,0,46674,18011,12274,0,7802,11397,16022,0,11411,0,1905,13556,9039,0,0,5941,2278,0,7622
8070,0,0,0,8302,0,0,0,20427,0,0,0,10245,0,8380,0,0,6982,9378,29131,28039,0,9490,12021,10406,0,9304,3811,5477,16737,52918,33594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21573,0
3557,0,7404,16377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5144,5459,7531,0,6323,0,7093,0,4751,5730,0,5483,9234,0,0
11888,0,6643,0,10838,0,6201,16945,0,0,9180,8040,8789,10917,16171,11976,0,0,6244,9124,0,0,0,0,4484,0,0,0,0,0,0,7441
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4057,0,0,7604,0,0,0,0,0,0,0,0,0,14910,4799
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7075,0
0,0,0,0,0,0,0,6316,0,0,0,0,0,0,0,0,0,0,5472,0,10738,0,3915,0,10290,3008,0,0,5140,0,19659,4150
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9681,7472,0,9972,20326,0,0,13719,0,13960,13652,0,0,0,30474,14010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,2256,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4406,0,0,0,0,4088,0,0,0,0,0,3220,0,0,0,0,0,20413,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3742,0,0,13153,0,0,19760,0
0,0,0,0,0,0,0,2924,0,0,0,0,0,0,0,0,0,20735,11071,0,0,15777,11789,0,0,0,0,0,5035,0,51773,0
5757,21742,0,0,0,0,16832,20274,0,0,7651,0,0,0,0,0,102351,0,4851,28905,69657,0,8231,37795,70644,15024,14417,18472,31729,25252,0,17987
7980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23534,22982,15077,23139,0,0,0,0,0,7205,0,5994,15854,25115,19589
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22842,0,0,10107,0,10467,0,0,0,0,0,0,0,0,22298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3716,4342,0,14804,0,0,0,0,9178,0,0,0,0,0,0,0,0,6613,5971,0,0,0,0,0,0,0,0,0,0,2873,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6909,11348,0,0,0,0,0,0,0,0,9867,0,0,0
0,0,0,0,0,0,0,6002,0,0,0,9202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7749,0,0,0,0,0,0,0,0,0,0,0,12357,0,3951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,20704,18448,0,8158,0,0,0,19891,0,11881,20865,9486,26642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16808,12782,26810,25952,24889,32933,14767,25915,27141,9211,22531,28398,23999,17106,24672,28918,0,0,3782,0,0,0,3112,0,0,9153,0,0,8658,0,0,0
0,0,0,0,0,4244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2852,0,0,0,0,0,0,0
3283,14424,4487,23697,0,7585,16329,16386,4585,3320,8456,0,5304,3088,0,4918,7414,36300,26485,42844,73408,42515,28216,28380,18986,15520,62175,52859,47537,51886,30477,10519
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,4306,9326,0,0,0,7467,10733,0,0,14755,8867,9512,2711
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6439,5060,0,0,0,0,0,2241,0,0,23059,15250,0,0,6372,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25438,10606,37739,5343,43898,68803,0,15624,0,0,5167,60996,23276,23604,46910,13574,0,0,7183,0,0,0,0,0,0,0,0,0,0,0,0,8307
0,5362,0,32985,0,0,8228,8180,12225,20479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15748,51565,59827,30694,0,0,36737,0,0,34431,0,0,24738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58329,0
0,0,0,0,0,0,0,0,0,0,0,16526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536
0,0,0,0,0,0,0,0,0,0,915,0,0,0,0,0,0,0,1875,0,0,1032,0,1723,0,0,2151,0,0,0,0,1888
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4187,0,0,0,1829,0,0,0,0,5555,0,0,0,0,2383,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,712,0,0,0,0,0,0,0,0,4660,0,2811,0,0,2551,2023,4960,3092,3169,0,0,6743,0,5569
5675,0,0,4509,0,6323,2434,2457,0,0,0,0,0,0,0,0,3542,0,5601,0,2937,3003,3530,0,12508,0,0,0,0,2467,14530,0
11317,8162,6128,20484,14228,13640,11633,4305,0,0,0,26140,14212,0,11985,17160,0,13775,7708,0,23695,9771,9258,21692,55952,53337,9875,0,18993,14499,30310,5759
2116,0,0,3027,0,0,0,5802,0,0,0,0,0,0,0,1919,0,0,2418,0,2994,2576,0,0,0,0,0,0,0,5668,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2569,0,0,0,0
11875,16535,24074,41436,19203,32738,7927,28828,7102,20866,45960,8178,31590,13641,4692,15009,14497,29241,16780,7987,30013,28953,4931,5451,15468,12091,8126,0,26371,31789,25191,21681
0,0,0,0,0,0,0,2411,0,0,0,0,0,0,0,0,0,0,3469,0,0,0,0,0,0,2161,0,0,0,4444,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10129,0,9148,0,0,0,7002,5320,0,11624,25168,4355,14555,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15210,0,0,0,0,0,0,0,0,5069,0,5285,5989,0,0
20321,58858,21388,28512,16502,35081,19310,19095,38288,15989,25525,20824,22648,56033,35819,60386,18742,16650,21520,11580,11303,18603,19543,0,19073,15063,4668,0,11071,12723,0,9560
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6784,0,7057,36521,18064,9356,0,0,4404,0,0,62465,26338,0,25831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90707,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,13769,10938,0,5092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6031,0,0,0,9808,19887,4421,12533,36866,0,0,0,13994,19185,17524,41259,3328,28261,12673,13461
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5290,0,0,0,0,0,0,5557,3291,2411,0,0,0,6429,0
0,0,0,0,0,0,0,0,0,0,0,7310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11255,14569,31841,29552,0,0,0,20945,10521,9032,0,13367,20109,26695,16882
0,0,0,0,0,0,0,4805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2797,0,0,0,0,0,0,0,0,11402,15368,21913,18876,27072,9198,10178,16360,33317,16569,21602,18985,18588,14009,33576,13391
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7257,0,0,0,0,0,0,0,0,0,36003,0
