582.T1_RD8_01_33104,601.T1_RF2_01_33124,585.T1_RD11_01_33107,578.T1_RD5_01_33101,572.T1_RC11_01_33094,602.T1_RF3_01_33128,596.T1_RE9_01_33118,594.T1_RE7_01_33116,575.T1_RD2_01_33098,571.T1_RC10_01_33093,593.T1_RE6_01_33115,589.T1_RE2_01_33111,592.T1_RE5_01_33114,588.T1_RE1_01_33110,590.T1_RE3_01_33112,581.T1_RD7_01_33103,595.T1_RE8_01_33117,599.T1_RE12_01_33121,573.T1_RC12_01_33095,583.T1_RD9_01_33105,570.T1_RC9_01_33092,603.T1_RF4_01_33129,591.T1_RE4_01_33113,576.T1_RD3_01_33099,574.T1_RD1_01_33097,584.T1_RD10_01_33106,597.T1_RE10_01_33119,586.T1_RD12_01_33108,598.T1_RE11_01_33120,580.T1_RD6_01_33102,600.T1_RF1_01_33123,577.T1_RD4_01_33100
0,0,0,0,0,0,0,0,0,0,0,4575,0,72462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4948
52979,202308,90184,65156,70779,158957,0,44290,0,23918,0,97329,36096,38341,178967,32737,0,0,52417,53263,0,0,90165,0,0,116371,89154,96858,0,27625,65013,0
0,0,0,0,0,8300,0,15564,0,0,0,39597,7158,16244,35641,7357,0,0,0,0,25629,0,9063,0,0,9435,0,0,0,0,6089,0
0,0,7427,0,0,0,0,0,0,0,0,0,0,0,0,5867,0,0,0,0,0,0,0,0,0,0,9199,0,0,0,0,0
175621,0,33509,195005,50517,0,29843,26540,128650,129976,147728,24647,40417,18249,26270,36445,15913,46962,35821,283318,209634,373963,0,14748,261689,28898,86563,52510,32494,90679,45274,25501
0,0,0,0,0,0,0,0,0,0,0,13340,0,0,0,95322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4069,0,0,0
0,0,0,0,0,3812,0,0,0,0,0,34578,0,159160,13074,0,0,5044,0,0,0,3177,0,0,3001,3702,0,0,3286,0,3794,0
0,0,0,0,0,0,0,0,0,0,0,0,0,395279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29041,48040,69666,125097,0,52240,0,35366,16216,0,13139,157551,15069,13447,148719,77327,0,0,16234,22534,44368,49976,8754,0,74686,59920,64866,80907,0,69326,104304,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15965,44894,26984,0,25588,46851,7707,17017,0,0,0,57448,27257,5620,3368,2187,7084,10578,0,26166,0,6496,51390,0,0,1886,24746,8243,16245,31100,24972,0
0,12029,16186,43763,8117,0,5530,0,22508,22070,0,16956,0,10501,9238,40775,0,0,0,9147,0,25962,0,0,34661,7805,0,0,0,17802,4440,0
0,0,0,0,0,0,0,0,0,0,0,2749,0,316644,0,0,0,0,0,0,0,0,0,0,0,3706,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6416,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
