572.T3_BA3_01_33169,597.T3_BC2_01_33194,589.T3_BB6_01_33185,584.T3_BB2_01_33181,590.T3_BB7_01_33186,598.T3_BC3_01_33195,577.T3_BA8_01_33174,599.T3_BC4_01_33196,588.T3_BB5_01_33184,581.T3_BA11_01_33177,595.T3_BB12_01_33191,585.T3_BB3_01_33182,594.T3_BB11_01_33190,570.T3_BA1_01_33166,592.T3_BB9_01_33188,575.T3_BA6_01_33172,571.T3_BA2_01_33168,580.T3_BA10_01_33176,576.T3_BA7_01_33173,583.T3_BB1_01_33180,602.T3_BC7_01_33199,603.T3_BC8_01_33200,573.T3_BA4_01_33170,582.T3_BA12_01_33178,574.T3_BA5_01_33171,600.T3_BC5_01_33197,578.T3_BA9_01_33175,596.T3_BC1_01_33193,586.T3_BB4_01_33183,601.T3_BC6_01_33198,591.T3_BB8_01_33187,593.T3_BB10_01_33189
1872,0,0,1091,0,0,0,0,0,0,4224,0,0,0,0,0,0,0,0,0,1255,0,0,0,523,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9717,0,0,7801,0,0,0,0,0,0,0,9567,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3084,0,0,0,0,0,0,2242,0,0,0,0,0,0,1599,0,0,0,0,0,0,0,0,0,0,0,3316,0,0
0,0,0,0,0,0,0,61785,7245,0,0,0,0,0,0,0,0,0,0,0,0,26542,0,0,0,0,0,0,0,0,0,0
3736,0,9884,2618,10468,0,0,0,3161,0,10472,4888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3368,0,0,0,0
0,0,0,0,0,0,0,0,3975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3367,0,0,0,0,0,0,0,2883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3374,2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9627,0,0,0,0,0,0,0,0,5924,0,0,8470,0,0,0,0,13488,0,7409,16923,9880,0,0,0,0,0,0,0,0,0
0,0,3634,0,0,0,0,0,0,1943,11264,0,0,0,0,0,0,0,0,0,0,0,0,8537,0,0,0,0,2048,2596,0,2892
0,0,0,0,0,4741,0,0,0,0,2770,0,0,3542,0,0,0,0,0,0,13457,7737,0,0,0,5042,0,3794,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3311,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19557,0,0,0,0,0,19649,0,0,0,0,0,0,0,0,0,0,19497,0,0,0,0,0,0,0,0,0,0
102955,63219,84463,22673,125341,81868,245296,62991,60784,52920,121574,41784,54110,78179,43598,57424,91545,19168,82926,45560,0,35031,101878,95097,37779,39374,27219,0,62241,78227,52781,67022
83830,46270,0,80042,80187,84641,68301,76572,81668,99741,119207,72341,0,18074,26022,47035,10644,80478,32421,21134,178191,126318,55170,28168,59085,82141,49823,12899,27970,122019,40202,84641
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23389,0,16991,0,24170,0,33356,0,0,0,28887,0,0,0,18471,0,0,0,0,14444,0,0,0,23781,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4639,0,0,0,0,0,8781,0,0,0,0,2789,0,0,1804,0,1928,0,0,3886,6310,0,0,0,0,0,2685,0,6328,0,0
0,3936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2785
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6286,0,0,0,0,0,0,0,0,0,0,5373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72203,21504,10902,17717,30596,0,50618,0,26097,5054,70652,35370,12821,25158,6700,20496,21327,4888,25948,13323,21921,21040,25873,10757,16033,19424,0,0,14234,25741,11599,20204
