,T5_578,T5_580,T5_581,T5_582,T5_583,T5_584,T5_585,T5_586,T5_589,T5_591,T5_593,T5_595,T5_597,T5_599,T5_601,T5_603
Tauroursodeoxycholic acid (NIST14),0,0,2613,0,0,0,0,0,0,1832,25077,4819,0,2274,0,2293
Tauroursodeoxycholic acid (NIST14).1,0,0,24271,0,0,0,0,0,10054,0,0,36940,0,0,0,14156
Tauroursodeoxycholic acid (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid (NIST14),86238,25527,0,0,0,0,0,0,0,0,0,0,17348,0,0,0
Taurocholic acid,0,0,0,0,0,0,0,0,0,0,6671,0,0,0,0,0
Taurocholic acid.1,0,0,0,0,0,0,0,0,0,0,21099,0,0,0,0,0
Taurocholic acid.2,0,0,0,0,0,0,0,0,0,0,117869,0,0,0,0,0
Taurocholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurocholic acid.4,0,0,0,0,0,0,0,5392,3572,0,0,0,2622,4017,4764,0
Tauroursodeoxycholic acid,0,0,0,0,0,0,0,0,0,0,6418,0,0,0,0,0
Ursocholic acid,0,47233,0,0,0,0,0,0,0,0,0,0,57767,0,0,0
Ursocholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.3,0,0,0,0,0,137207,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.6,53690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid.2,0,0,53377,54155,0,0,34302,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid.3,0,0,0,30116,0,0,0,0,0,0,0,0,0,0,0,0
