,T5_570,T5_571,T5_572,T5_573,T5_574,T5_575,T5_576,T5_577,T5_578,T5_580,T5_581,T5_582,T5_583,T5_584,T5_585,T5_586
Deoxycholic acid (NIST14).11,0,91229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithocholic acid (NIST14),5286,14739,12070,4048,8364,0,0,0,21212,5546,17213,0,0,6435,0,6585
Tauroursodeoxycholic acid (NIST14),4507,0,0,0,0,0,665,0,0,0,2613,0,0,0,0,0
Tauroursodeoxycholic acid (NIST14).1,15014,0,0,0,0,0,0,0,0,0,24271,0,0,0,0,0
Tauroursodeoxycholic acid (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid (NIST14),0,0,45457,0,0,0,0,0,86238,25527,0,0,0,0,0,0
Taurocholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurocholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurocholic acid.2,3765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurocholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurocholic acid.4,0,0,0,0,3899,0,3876,0,0,0,0,0,0,0,0,5392
Tauroursodeoxycholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid,0,0,0,82123,0,0,0,19889,0,47233,0,0,0,0,0,0
Ursocholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,137207,0,0
Ursocholic acid.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.6,0,0,0,0,0,0,0,0,53690,0,0,0,0,0,0,0
Ursocholic acid.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid,0,0,7114,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid.2,0,0,0,0,0,0,27155,26857,0,0,53377,54155,0,0,34302,0
Ursodeoxycholic acid.3,0,0,0,0,0,0,0,0,0,0,0,30116,0,0,0,0
