,baseMean,log2FoldChange,Abs,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,confidence
439e4f84c2a2e0c0f39e67ceabe0632a,286.017481171182,1.03722084272959,1.03722084272959,1.11576341159564,0.929606430852826,0.352574896574552,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999999
db526850a437eb63165d52ce1643921e,40.8116646059992,1.03475498454391,1.03475498454391,2.46306125246152,0.420109318641508,0.674405595491641,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus],0.9695632
99d183823d3f85a8238cefe9557b32b9,65.9946173970044,-1.01588289286861,1.01588289286861,1.68092600214198,-0.60435908039621,0.545604934781177,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,1
e496e5c97263724cfec61dd8dad35a1c,50.8358532251466,-1.00106974767332,1.00106974767332,1.87340449411193,-0.534358570623514,0.593093476580532,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.7353999
1cdf58163f79b99e06dcfbbcbbe3beff,14.4055838404163,0.994284834013625,0.994284834013625,1.99180120676502,0.499188789843385,0.617646391183089,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999976
93baa8b438e977436b62b151379fb0e4,56.8899786921823,-0.983753653312214,0.983753653312214,1.22846236294999,-0.800800808377928,0.423246970961672,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Clostridium,0.9291074
3412eb59af1e9c6bcd96d45c01e941b4,20.0110048698736,-0.971680699847732,0.971680699847732,1.34926977075171,-0.720153019737768,0.471430786110394,0.979355321900581,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__RF32, f__, g__,1
fc52772ee8b2f7282968b41dfb276e78,93.425815035686,-0.97137024522099,0.97137024522099,1.06005393595727,-0.916340397664578,0.359488385862,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Oscillospira,0.9997993
add6feb7ab50d5292ffdc30d3d8cbcb7,190.712725580485,0.967276688464879,0.967276688464879,1.30186174126594,0.742994941632043,0.457484742926164,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9916766
4432a6cb89ffde9daa52a8b5312c04f0,57.8712026170462,-0.961379027617338,0.961379027617338,1.16100168785625,-0.828059974135344,0.407636535756586,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.7253255
73a412ea3d0c5350a33a98d34155acb4,49.3867952536811,0.96087599977781,0.96087599977781,2.05552395353268,0.467460375796847,0.640170535084473,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999998
73aa97f3b058b466b033a316de6ce38c,51.457851508258,0.949046066304888,0.949046066304888,1.73851180498909,0.54589566983748,0.585137655056586,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.9999882
5a18dfbc825b73bc102e9db37e6b1e33,40.4702017693881,-0.947830406940072,0.947830406940072,1.22553057491573,-0.773404129068952,0.439283247077923,0.979355321900581,k__Bacteria, p__Cyanobacteria, c__4C0d-2, o__YS2, f__, g__,1
e55a23799f1d2e1c4a6bd09dfeef818a,19.0379439165025,-0.914316306791587,0.914316306791587,2.24479785255953,-0.407304517753829,0.683784345077636,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus,0.8809803
5a1cbfd80223a2900dd7de2137d3abba,90.7782446136851,0.892617727134836,0.892617727134836,0.642935505984289,1.38834722740705,0.165031337641709,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__AF12,0.9999999
246d75fddaaf609d9e2ee0292360b064,2012.39515432314,-0.887185470630068,0.887185470630068,1.19078644932311,-0.745041624494786,0.456246557015045,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Clostridium,0.7352246
1c3c9d6517e77758bd0159dcc8fff029,82.7502928938552,0.880710225580095,0.880710225580095,1.19759963152733,0.735396206206998,0.462098231677528,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.787222
57756402af6767f813d99963742f8893,44.0016391734746,-0.880606881627608,0.880606881627608,1.70897587876157,-0.515283388473422,0.606355005196178,0.979355321900581,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.9995588
47e13ed5a6f8712dc0cd439dca1aa08c,150.254537169163,0.873226813424425,0.873226813424425,0.674345271156077,1.29492539026394,0.1953459686914,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999994
b9c08a80084a5817a32ad811704367c4,345.378658601254,0.861070089559699,0.861070089559699,0.507009149269856,1.69833244784582,0.089445033867664,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9997594
7ab74051974b59fd0e1db261c5eeb66e,23.7281651114624,-0.830811488670784,0.830811488670784,2.02315906589733,-0.410650602157321,0.68132875334448,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.7261396
f901b3059aaee1d17e782c63cb0088b4,65.0391247191745,-0.827783650155411,0.827783650155411,1.69926549899123,-0.487142033217778,0.626157680809921,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.8742046
c3075358fae5a4ea7ec3be416ec215a5,42.9788284145601,-0.823529595679327,0.823529595679327,1.41044372580141,-0.583879796559343,0.559301186766786,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9999984
f04a9cacfbff7f4e852eaefc7d7517fa,1.44713643238276,-0.822180302454098,0.822180302454098,2.95813676733396,-0.277938569823157,0.78105951546614,0.994924806962624,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__,0.9770254
33a9575abe0f4d7e545807b49883144a,30.8780844665802,-0.817986765187902,0.817986765187902,1.86944064292897,-0.437556960303543,0.66170747669473,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Oscillospira,0.9539173
7a82038a2a87643382fdc201dacb1009,633.773079886753,0.817284709808346,0.817284709808346,0.453698812806502,1.80138163631676,0.071642748535553,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.9823265
c2324ae27caa7b6227cd290adb9b7dd7,3.75479340239155,-0.812993731540591,0.812993731540591,2.12299459479002,-0.382946679909471,0.701759299124354,0.981331168570327,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes,0.9966841
0dc8ff6ef37c4d1cfa0798861e3f58c8,128.496061328178,0.801191796611291,0.801191796611291,1.05249179883935,0.76123329178889,0.4465177366726,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9242374
ccbd784df290de31b6b346ea8246646b,62.4424991537771,-0.800652542355469,0.800652542355469,1.69665701720684,-0.471900056543874,0.6369981277076,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.8658323
d5561f383a99cf69209e719c1dd511ee,24.832826236042,0.773410680455605,0.773410680455605,1.40266702296539,0.551385801329051,0.581369231921294,0.979355321900581,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Alcaligenaceae, g__Sutterella,0.99966
37835e4fbbd6bb6b2f6dbbbad70f9372,272.205115766783,0.770118063277894,0.770118063277894,0.721421749122447,1.06750047973281,0.285745897130074,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999992
b2c1c518a311037462a93c63f9dfdf95,562.130798752902,-0.746644375987785,0.746644375987785,0.769731572257781,-0.970006172148718,0.332043415595997,0.979355321900581,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.824576
3440e49bbd5cc4432ab49dd963d49bcd,251.02326502879,0.724128529387834,0.724128529387834,0.86437930300737,0.837743947441161,0.402174525532004,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,1
32a785efe029189e18277cb04adaa7b3,70.9309479552551,0.717228328713974,0.717228328713974,1.55045750877814,0.462591412311064,0.643657265348474,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9213441
ae6f858a33e49815fcd83690ada389c8,359.127973186536,0.705405925578602,0.705405925578602,0.481461455251605,1.46513478469417,0.142884147983567,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999999
9582387a23e2d8d87ed656d10f84ee96,176.286920685479,0.696350756095952,0.696350756095952,0.622950154539443,1.11782740725183,0.263640713643006,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999999
dd1d307a75c8a8e9862f1893a6d9eab8,67.7657050608559,0.692833682001933,0.692833682001933,1.23490573208863,0.561041757276586,0.574769071191053,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9999956
