,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2,589_T2,591_T2,593_T2,595_T2,597_T2,599_T2,601_T2,603_T2
Tauroursodeoxycholic acid (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid (NIST14),0,0,0,18380,0,0,0,0,0,0,0,73255,0,0,72454,16350
Taurocholic acid,0,0,0,0,0,0,0,0,0,0,0,5959,0,11888,0,0
Taurocholic acid.1,0,0,0,0,0,0,0,0,0,19583,16452,51191,8290,28692,0,5584
Taurocholic acid.2,0,0,0,0,0,0,0,0,20849,38882,29465,23326,19215,0,21645,0
Taurocholic acid.3,0,5844,0,0,0,0,0,0,7608,0,5974,55104,8503,45247,15786,11001
Taurocholic acid.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tauroursodeoxycholic acid,0,0,0,0,0,0,0,0,2343,0,0,10698,0,0,0,0
Ursocholic acid,0,0,59060,23715,0,0,0,0,0,0,162457,93298,0,266100,18825,0
Ursocholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,9061,0,0
Ursocholic acid.3,0,59602,0,0,0,0,0,0,52467,364534,0,392448,315038,89768,329361,84687
Ursocholic acid.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7321,0,0
Ursocholic acid.6,23337,0,0,0,0,0,0,0,16117,0,0,0,0,0,0,23331
Ursocholic acid.7,0,156676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
