"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","confidence"
"93baa8b438e977436b62b151379fb0e4","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Clostridium",0.929107405927307
"99d183823d3f85a8238cefe9557b32b9","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999999996547109
"c77b7b306fb194ebdeeaa40339ad9cce","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__",0.851348355177634
"2be703e8e1b05e3945aaa70fc9821d43","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.830434903638463
"73a412ea3d0c5350a33a98d34155acb4","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999847990534
"ec80a1891cfa84607cf8a35946fad94e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Rikenellaceae"," g__",0.967403391549128
"4a6e41e2647962a13edf6a3ffeaa26aa","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Oscillospira",0.986865333214509
"fc52772ee8b2f7282968b41dfb276e78","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Oscillospira",0.999799337702866
"200251de3ea195fcbd76ad8e294663b4","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.730073178995915
"5a23a57447e89929f308254243c0be7d","k__Bacteria"," p__Tenericutes"," c__Mollicutes"," o__RF39"," f__"," g__",0.999997238014592
"cf5de9860f35515eba0aea110420fced","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__",0.834326203229714
"40ce0b5652461edd363e325f756fdfb9","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae",NA,0.999940391456017
"b01f32c861fc42f477ca2787f9564c8c","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Oscillospira",0.997262105767172
"62316606df7d0d90016e4b1c3d536dca","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__[Ruminococcus]",0.99355365259951
"b99fc3e445618f1a0d9035eff577263e","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.99999998879638
"bf7b5b8347141f99a91cd4fb687a89e9","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.793865040451622
"ff2bac9eab90ac4b91ef48a71573c99d","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999004680004
"66e2c989667e6a196ba4722a431fbc34","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.934624845489304
"620eac36793683fa6c6b25fd6f3092a7","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.813624921972913
"2b31f000e143280148198508065a3250","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Rikenellaceae"," g__",0.939822306489022
