,570_T2,571_T2,572_T2,573_T2,574_T2,575_T2,576_T2,577_T2,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2
Cholic acid (NIST14).15,0,0,0,0,0,0,0,8372,0,49121,0,0,0,0,0,0
Cholic acid (NIST14).16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).17,24596,43178,0,22132,0,12661,0,0,13575,9779,4251,13412,19007,3901,15811,0
Cholic acid (NIST14).18,5081,98692,0,2127,0,3701,17798,25710,0,51244,8386,0,0,0,0,3430
Cholic acid (NIST14).19,2116,0,0,3596,0,0,3151,0,0,0,0,0,1650,0,0,1745
Cholic acid (NIST14).20,0,0,0,4578,2540,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).21,3762,0,0,4922,0,0,0,6135,0,0,11064,0,0,0,0,0
Deoxycholic acid (NIST14),0,0,0,265233,62533,95643,0,0,0,0,0,0,0,63987,57454,0
Deoxycholic acid (NIST14).1,11561,0,15876,196340,73010,12241,0,24921,17658,3759,7340,0,0,38674,7231,8079
Deoxycholic acid (NIST14).2,3188,45750,0,432588,0,0,0,0,0,13140,0,0,0,2929,0,0
Deoxycholic acid (NIST14).3,0,176747,69359,0,215455,159278,0,242745,257289,64266,100877,316083,419766,0,257355,59550
Deoxycholic acid (NIST14).4,0,0,0,0,0,0,0,0,0,0,2988,0,0,0,10961,0
Deoxycholic acid (NIST14).5,391164,559830,341968,0,349173,390277,154350,0,132932,169650,69382,0,0,434281,0,266322
Deoxycholic acid (NIST14).6,8361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).8,155131,0,0,93100,0,41107,0,0,0,0,0,18957,34638,0,36601,108530
Deoxycholic acid (NIST14).9,0,0,0,0,0,0,0,0,24372,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).10,0,0,0,0,0,0,0,0,360383,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).11,0,119596,0,0,0,0,0,0,0,0,0,0,0,0,97202,0
Deoxycholic acid (NIST14).12,16084,0,0,6371,0,0,0,0,0,0,12602,0,6283,0,0,0
Lithocholic acid (NIST14),4431,1796,5292,7084,7739,0,0,5798,0,0,0,0,0,0,0,0
Tauroursodeoxycholic acid (NIST14),12735,35763,0,7685,0,1793,0,2226,0,1966,0,0,0,0,0,0
Tauroursodeoxycholic acid (NIST14).1,7478,6072,0,0,0,0,0,0,11631,0,0,0,0,0,0,0
Tauroursodeoxycholic acid (NIST14).2,0,3325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid (NIST14),0,0,0,0,0,0,0,0,0,0,0,18380,0,0,0,0
Taurocholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurocholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurocholic acid.2,0,29560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurocholic acid.3,0,25886,0,0,0,0,0,0,0,5844,0,0,0,0,0,0
Taurocholic acid.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tauroursodeoxycholic acid,0,5723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid,0,0,0,0,0,0,0,0,0,0,59060,23715,0,0,0,0
Ursocholic acid.1,0,0,5726,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.3,109495,12121,0,94254,0,24960,90501,154443,0,59602,0,0,0,0,0,0
Ursocholic acid.4,0,0,0,0,0,0,0,13560,0,0,0,0,0,0,0,0
Ursocholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.6,0,0,0,0,0,0,0,0,23337,0,0,0,0,0,0,0
Ursocholic acid.7,0,215319,0,0,0,0,16442,0,0,156676,0,0,0,0,0,0
Ursodeoxycholic acid,0,19458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid.2,0,0,52161,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
