"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","confidence"
"14aa1ed941114d87293f3a41fdca7ecd","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999594578054
"dda8981fb4ba1813e13b6e63a8e26cd8","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999379148471
"47efe892b8c48b5dd79f8bc3220443ca","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999975267105643
"7fd3cf7fb44c555f5cc0043be73104d8","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999968530304
"20b09d01893b8fa0d699a4078565b7ef","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999206929006
"9477eb2dee9e9d0bf0c8ae04c5ab9260","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999547266273
"66666e2eba83ead26033d9a4a5edd08a","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Rikenellaceae"," g__",0.75864402771776
"6f723b313dfe49e5e24e8273f0e69d06","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.977206232825906
"60f65c58b8bc5dd66ab5db5c4522f964","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999986365897718
"1c346134371daba583451f711fe76e1a","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999998371294
"83b377e12edb5bbda2b8d41e1739799d","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999227184986
"1552406084b0c0c1f3c2e5dd59265a9b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999911038476
"8f19d22ebcd241e17844dd9bf34c18ef","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999901283819
"b734bb8187882c0b6042f08b266d289b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999978213228487
"c3034f7a46ce932a7a3ef1255f9013dd","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.95273392747667
"a94ae003db4efaa9f3379eeef09d600a","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999974515817
"56ec5cc4d0cb832b82c19eec85fb15d5","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.998114388805861
"a768ef445da67c4bbf1c83a6aef3d643","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999957787092567
"422b0a2f5cff0e07d7622bb32bc50a60","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999516610845
"0a5e1e76e629468d95cf7103e11cca8c","k__Bacteria"," p__Deferribacteres"," c__Deferribacteres"," o__Deferribacterales"," f__Deferribacteraceae"," g__Mucispirillum",0.999999987543646
"b2277dc80154f9fa4959f5812d34ac5f","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999873075901
"a981780d86465164f5ccce93bff9b789","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999320526758
"699ac093197820865775e3a63392123b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999241532979
"204e510b011e864f299cf4993d478c85","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.98193534428033
"cb74f8bb7e9d69867067f18ae8850d0e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999559073087
"6b069274a2abb8ee3dfc7025d059b68b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999411174076
