,baseMean,log2FoldChange,Absolute,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,New,Order,Family,Genus,Species,Rank1
denovo291148,28.6661958302784,1.09889581873198,1.09889581873198,0.746600771470596,1.47186536730663,0.141057237457553,0.425130840670679,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo90339,33.7000180119793,1.08981585590137,1.08981585590137,0.512821573119497,2.12513652511147,0.033575222624937,0.196914143503007,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo328994,7.74356288409854,1.08753335337664,1.08753335337664,0.976333413235346,1.11389545685301,0.265324038678103,0.570411163342659,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo327696,14.2349171948136,1.05896349942005,1.05896349942005,0.556884935587602,1.90158402884911,0.057225557533557,0.256597501908608,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo416744,54.8818773001971,1.05866956757503,1.05866956757503,0.884856950035084,1.1964301885554,0.231528726481568,0.537855953962834,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo435895,60.5162181170524,1.05680140005588,1.05680140005588,0.594399295446385,1.77793178449553,0.075415059205157,0.292233354419984,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_Rikenellaceae,G_AF12",Bacteroidales,Rikenellaceae,AF12,NA,NA
denovo141893,13.9086691238704,-1.05448410529605,1.05448410529605,0.788493979414629,-1.33733945068152,0.181111859092994,0.4792838222339,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo256810,11.0421084888649,-1.04973334262596,1.04973334262596,0.873687284941075,-1.20149779070753,0.229558162969232,0.537855953962834,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo317379,340.490716642863,1.04864292086528,1.04864292086528,0.647458919638165,1.61962850315093,0.105312102961863,0.349830748691335,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo317660,23.3512005394535,-1.0379941134085,1.0379941134085,0.576257785733301,-1.80126696611592,0.071660811871019,0.282734475927475,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
